iter	Passed	Remaining
0	3	1738
1	5	1406
2	7	1185
3	9	1122
4	10	1047
5	14	1200
6	16	1193
7	18	1164
8	20	1135
9	22	1089
10	24	1090
11	25	1045
12	27	1048
13	30	1042
14	32	1041
15	34	1028
16	36	1023
17	37	997
18	39	988
19	40	972
20	42	972
21	44	962
22	45	952
23	47	941
24	49	940
25	51	934
26	53	936
27	55	932
28	57	931
29	59	927
30	61	923
31	63	932
32	64	917
33	67	921
34	69	921
35	70	913
36	72	906
37	75	919
38	77	917
39	79	914
40	81	911
41	83	909
42	84	900
43	86	897
44	88	894
45	90	894
46	92	890
47	94	887
48	96	885
49	98	883
50	99	876
51	101	875
52	103	873
53	105	871
54	107	867
55	109	865
56	110	858
57	111	849
58	112	842
59	114	836
60	115	832
61	117	831
62	119	828
63	121	826
64	123	827
65	125	826
66	127	826
67	129	823
68	131	818
69	132	816
70	135	816
71	136	813
72	140	821
73	142	820
74	144	819
75	146	818
76	148	814
77	151	817
78	153	815
79	155	816
80	157	817
81	160	817
82	162	815
83	165	817
84	168	822
85	170	821
86	172	818
87	174	815
88	176	816
89	178	814
90	180	811
91	182	809
92	184	806
93	186	803
94	187	801
95	189	799
96	193	802
97	195	800
98	197	798
99	199	796
100	200	793
101	202	791
102	204	789
103	206	786
104	208	784
105	210	781
106	212	778
107	213	776
108	215	774
109	217	771
110	219	770
111	221	768
112	223	766
113	226	765
114	227	763
115	229	760
116	231	758
117	234	757
118	236	756
119	238	754
120	239	750
121	242	752
122	244	749
123	247	749
124	248	746
125	250	743
126	252	741
127	254	740
128	257	739
129	259	739
130	261	737
131	263	735
132	265	733
133	267	730
134	269	729
135	271	726
136	273	723
137	275	721
138	276	718
139	278	716
140	280	713
141	281	710
142	284	709
143	285	706
144	287	703
145	289	701
146	291	699
147	293	696
148	294	694
149	296	692
150	298	690
151	300	688
152	302	685
153	303	682
154	305	680
155	307	678
156	309	675
157	311	673
158	313	671
159	315	669
160	317	667
161	318	665
162	320	662
163	322	660
164	324	658
165	326	656
166	328	654
167	330	652
168	331	649
169	333	647
170	335	645
171	337	643
172	339	641
173	340	638
174	342	636
175	344	634
176	346	632
177	348	630
178	349	627
179	351	625
180	353	623
181	355	620
182	357	618
183	359	616
184	361	614
185	362	612
186	364	610
187	366	608
188	368	605
189	369	603
190	371	601
191	373	599
192	375	597
193	377	595
194	379	593
195	380	590
196	382	588
197	384	586
198	386	584
199	388	582
200	390	580
201	391	578
202	393	576
203	395	574
204	397	572
205	399	570
206	401	568
207	403	566
208	405	564
209	407	562
210	409	560
211	411	558
212	413	556
213	415	554
214	417	552
215	419	551
216	421	549
217	423	547
218	424	545
219	426	543
220	428	541
221	430	539
222	432	536
223	434	535
224	436	532
225	438	531
226	439	528
227	441	526
228	443	524
229	445	522
230	447	520
231	449	518
232	450	516
233	453	514
234	454	512
235	456	510
236	458	508
237	460	506
238	461	504
239	463	502
240	465	500
241	467	498
242	469	496
243	471	494
244	473	492
245	475	490
246	476	488
247	479	486
248	480	484
249	482	482
250	485	481
251	486	479
252	488	476
253	490	475
254	492	472
255	494	470
256	495	468
257	497	466
258	499	464
259	501	463
260	503	460
261	505	459
262	507	457
263	509	455
264	511	453
265	513	451
266	515	449
267	516	447
268	519	445
269	521	444
270	523	442
271	525	440
272	526	438
273	528	435
274	530	434
275	532	432
276	534	430
277	536	428
278	538	426
279	539	424
280	541	422
281	543	420
282	545	418
283	546	415
284	548	413
285	550	411
286	552	409
287	553	407
288	555	405
289	557	403
290	559	401
291	561	399
292	563	397
293	565	396
294	566	394
295	568	391
296	570	390
297	572	388
298	574	386
299	576	384
300	578	382
301	581	381
302	582	378
303	584	376
304	586	375
305	588	373
306	590	371
307	592	369
308	594	367
309	597	365
310	598	363
311	600	361
312	602	360
313	604	358
314	606	356
315	608	354
316	610	352
317	612	350
318	614	348
319	616	346
320	618	344
321	620	342
322	622	340
323	624	338
324	626	337
325	628	335
326	629	333
327	631	331
328	633	329
329	635	327
330	637	325
331	639	323
332	642	321
333	643	319
334	645	318
335	647	316
336	649	314
337	652	312
338	654	310
339	656	308
340	658	307
341	660	305
342	662	303
343	664	301
344	665	299
345	667	297
346	669	295
347	671	293
348	674	291
349	676	289
350	678	287
351	680	285
352	681	283
353	683	281
354	685	279
355	686	277
356	688	275
357	690	273
358	692	272
359	694	270
360	696	268
361	698	266
362	700	264
363	701	262
364	703	260
365	705	258
366	706	256
367	708	254
368	710	252
369	711	250
370	713	248
371	715	246
372	717	244
373	718	242
374	720	240
375	722	238
376	724	236
377	726	234
378	728	232
379	730	230
380	731	228
381	733	226
382	735	224
383	737	222
384	739	220
385	741	218
386	742	216
387	744	214
388	746	212
389	747	210
390	749	209
391	751	207
392	753	205
393	755	203
394	756	201
395	758	199
396	760	197
397	761	195
398	763	193
399	765	191
