iter	MultiClass
0	1.384423624
1	1.380105259
2	1.378971556
3	1.373964371
4	1.373963397
5	1.370632058
6	1.369924169
7	1.368019425
8	1.365659599
9	1.364245988
10	1.361241588
11	1.358445165
12	1.355324266
13	1.352269138
14	1.350620818
15	1.350619699
16	1.347506984
17	1.344794388
18	1.344037295
19	1.341871688
20	1.341562657
21	1.34049745
22	1.338114805
23	1.33796216
24	1.333813216
25	1.331765365
26	1.328554963
27	1.328553485
28	1.325626831
29	1.325194211
30	1.322605223
31	1.320941825
32	1.316181099
33	1.315537303
34	1.312622531
35	1.309789492
36	1.308260244
37	1.306255868
38	1.304452064
39	1.303892836
40	1.300356021
41	1.298217274
42	1.293797392
43	1.291618977
44	1.289679647
45	1.288780738
46	1.286906285
47	1.286311411
48	1.285188095
49	1.282463989
50	1.280241933
51	1.277546421
52	1.27665333
53	1.274224151
54	1.270936595
55	1.267184025
56	1.264514513
