iter	Passed	Remaining
0	199	199383
1	240	120053
2	267	88745
3	309	77059
4	315	62829
5	348	57766
6	364	51743
7	392	48674
8	428	47131
9	467	46268
10	507	45662
11	547	45077
12	584	44370
13	618	43587
14	659	43293
15	665	40940
16	707	40896
17	743	40573
18	783	40435
19	824	40397
20	852	39724
21	890	39581
22	921	39161
23	938	38166
24	968	37778
25	998	37398
26	1032	37200
27	1039	36070
28	1069	35806
29	1079	34919
30	1110	34725
31	1153	34895
32	1186	34770
33	1201	34136
34	1232	33973
35	1268	33976
36	1304	33943
37	1337	33855
38	1370	33778
39	1391	33389
40	1421	33260
41	1455	33210
42	1488	33133
43	1519	33017
44	1551	32916
45	1582	32819
46	1613	32709
47	1639	32508
48	1672	32460
49	1703	32364
50	1739	32369
51	1775	32371
52	1807	32298
53	1838	32213
54	1869	32116
55	1899	32017
56	1932	31963
